title,number,score,platform,release_date,web_page
Unreal Tournament 2004,439,8.8,PC,"March 16, 2004",https://www.metacritic.com/game/pc/unreal-tournament-2004
Ninja Gaiden,440,8.8,Xbox,"March 2, 2004",https://www.metacritic.com/game/xbox/ninja-gaiden
Pitfall: The Lost Expedition,441,8.8,GameCube,"February 18, 2004",https://www.metacritic.com/game/gamecube/pitfall-the-lost-expedition
Rise to Honor,442,8.8,PlayStation 2,"February 17, 2004",https://www.metacritic.com/game/playstation-2/rise-to-honor
NFL Street,443,8.8,PlayStation 2,"January 13, 2004",https://www.metacritic.com/game/playstation-2/nfl-street
NFL Street,444,8.8,Xbox,"January 13, 2004",https://www.metacritic.com/game/xbox/nfl-street
Fatal Frame II: Crimson Butterfly,445,8.8,PlayStation 2,"December 10, 2003",https://www.metacritic.com/game/playstation-2/fatal-frame-ii-crimson-butterfly
Metal Arms: Glitch in the System,446,8.8,PlayStation 2,"November 18, 2003",https://www.metacritic.com/game/playstation-2/metal-arms-glitch-in-the-system
NHL Rivals 2004,447,8.8,Xbox,"November 18, 2003",https://www.metacritic.com/game/xbox/nhl-rivals-2004
Secret Weapons Over Normandy,448,8.8,Xbox,"November 18, 2003",https://www.metacritic.com/game/xbox/secret-weapons-over-normandy
NCAA March Madness 2004,449,8.8,PlayStation 2,"November 17, 2003",https://www.metacritic.com/game/playstation-2/ncaa-march-madness-2004
Legacy of Kain: Defiance,450,8.8,PlayStation 2,"November 11, 2003",https://www.metacritic.com/game/playstation-2/legacy-of-kain-defiance
NBA Live 2004,451,8.8,PC,"November 11, 2003",https://www.metacritic.com/game/pc/nba-live-2004
Sphinx and the Cursed Mummy,452,8.8,Xbox,"November 10, 2003",https://www.metacritic.com/game/xbox/sphinx-and-the-cursed-mummy
Prince of Persia: The Sands of Time,453,8.8,PlayStation 2,"November 6, 2003",https://www.metacritic.com/game/playstation-2/prince-of-persia-the-sands-of-time
SOCOM II: U.S. Navy SEALs,454,8.8,PlayStation 2,"November 4, 2003",https://www.metacritic.com/game/playstation-2/socom-ii-us-navy-seals
Patrician III: Rise of the Hanse,455,8.8,PC,"October 31, 2003",https://www.metacritic.com/game/pc/patrician-iii-rise-of-the-hanse
SpongeBob SquarePants: Battle for Bikini Bottom,456,8.8,PlayStation 2,"October 31, 2003",https://www.metacritic.com/game/playstation-2/spongebob-squarepants-battle-for-bikini-bottom
Crimson Skies: High Road to Revenge,457,8.8,Xbox,"October 21, 2003",https://www.metacritic.com/game/xbox/crimson-skies-high-road-to-revenge
SSX 3,458,8.8,PlayStation 2,"October 20, 2003",https://www.metacritic.com/game/playstation-2/ssx-3
Mega Man Zero 2,459,8.8,Game Boy Advance,"October 14, 2003",https://www.metacritic.com/game/game-boy-advance/mega-man-zero-2
Age of Mythology: The Titans,460,8.8,PC,"September 30, 2003",https://www.metacritic.com/game/pc/age-of-mythology-the-titans
Command & Conquer: Generals - Zero Hour,461,8.8,PC,"September 22, 2003",https://www.metacritic.com/game/pc/command-conquer-generals---zero-hour
The Simpsons: Hit & Run,462,8.8,GameCube,"September 16, 2003",https://www.metacritic.com/game/gamecube/the-simpsons-hit-run
Dynasty Warriors 4,463,8.8,Xbox,"September 5, 2003",https://www.metacritic.com/game/xbox/dynasty-warriors-4
Buffy the Vampire Slayer: Chaos Bleeds,464,8.8,PlayStation 2,"August 27, 2003",https://www.metacritic.com/game/playstation-2/buffy-the-vampire-slayer-chaos-bleeds
NFL Fever 2004,465,8.8,Xbox,"August 27, 2003",https://www.metacritic.com/game/xbox/nfl-fever-2004
SoulCalibur II,466,8.8,Xbox,"August 27, 2003",https://www.metacritic.com/game/xbox/soulcalibur-ii
Emergency Fire Response,467,8.8,PC,"July 30, 2003",https://www.metacritic.com/game/pc/emergency-fire-response
Buffy the Vampire Slayer: Wrath of the Darkhul King,468,8.8,Game Boy Advance,"June 24, 2003",https://www.metacritic.com/game/game-boy-advance/buffy-the-vampire-slayer-wrath-of-the-darkhul-king
Rock 'N Roll Racing,469,8.8,Game Boy Advance,"June 23, 2003",https://www.metacritic.com/game/game-boy-advance/rock-n-roll-racing
Mega Man Network Transmission,470,8.8,GameCube,"June 17, 2003",https://www.metacritic.com/game/gamecube/mega-man-network-transmission
"WarioWare, Inc.: Mega Microgame$!",471,8.8,Game Boy Advance,"May 21, 2003",https://www.metacritic.com/game/game-boy-advance/warioware-inc-mega-microgame!
Rise of Nations,472,8.8,PC,"May 20, 2003",https://www.metacritic.com/game/pc/rise-of-nations
Grand Theft Auto: Vice City,473,8.8,PC,"May 12, 2003",https://www.metacritic.com/game/pc/grand-theft-auto-vice-city
Hamtaro: Ham Ham Heartbreak,474,8.8,Game Boy Advance,"April 8, 2003",https://www.metacritic.com/game/game-boy-advance/hamtaro-ham-ham-heartbreak
Rayman 3: Hoodlum Havoc,475,8.8,Xbox,"March 18, 2003",https://www.metacritic.com/game/xbox/rayman-3-hoodlum-havoc
Mega Man & Bass,476,8.8,Game Boy Advance,"March 10, 2003",https://www.metacritic.com/game/game-boy-advance/mega-man-bass
GT Advance 3: Pro Concept Racing,477,8.8,Game Boy Advance,"February 6, 2003",https://www.metacritic.com/game/game-boy-advance/gt-advance-3-pro-concept-racing
NASCAR: Dirt to Daytona,478,8.8,PlayStation 2,"November 11, 2002",https://www.metacritic.com/game/playstation-2/nascar-dirt-to-daytona
Ratchet & Clank,479,8.8,PlayStation 2,"November 4, 2002",https://www.metacritic.com/game/playstation-2/ratchet-clank
Doom II,480,8.8,Game Boy Advance,"October 28, 2002",https://www.metacritic.com/game/game-boy-advance/doom-ii
Grand Theft Auto: Vice City,481,8.8,PlayStation 2,"October 27, 2002",https://www.metacritic.com/game/playstation-2/grand-theft-auto-vice-city
Stronghold: Crusader,482,8.8,PC,"September 25, 2002",https://www.metacritic.com/game/pc/stronghold-crusader
Dynasty Warriors 3,483,8.8,Xbox,"September 24, 2002",https://www.metacritic.com/game/xbox/dynasty-warriors-3
Tribes Aerial Assault,484,8.8,PlayStation 2,"September 23, 2002",https://www.metacritic.com/game/playstation-2/tribes-aerial-assault
Kingdom Hearts,485,8.8,PlayStation 2,"September 16, 2002",https://www.metacritic.com/game/playstation-2/kingdom-hearts
Animal Crossing,486,8.8,GameCube,"September 15, 2002",https://www.metacritic.com/game/gamecube/animal-crossing
Big Air Freestyle,487,8.8,GameCube,"September 13, 2002",https://www.metacritic.com/game/gamecube/big-air-freestyle
Ty the Tasmanian Tiger,488,8.8,PlayStation 2,"September 10, 2002",https://www.metacritic.com/game/playstation-2/ty-the-tasmanian-tiger
Ty the Tasmanian Tiger,489,8.8,Xbox,"September 10, 2002",https://www.metacritic.com/game/xbox/ty-the-tasmanian-tiger
Mega Man Zero,490,8.8,Game Boy Advance,"September 9, 2002",https://www.metacritic.com/game/game-boy-advance/mega-man-zero
Mobile Suit Gundam: Federation vs. Zeon,491,8.8,PlayStation 2,"September 9, 2002",https://www.metacritic.com/game/playstation-2/mobile-suit-gundam-federation-vs-zeon
NFL Blitz 20-03,492,8.8,PlayStation 2,"August 12, 2002",https://www.metacritic.com/game/playstation-2/nfl-blitz-20-03
Mega Man Battle Network 2,493,8.8,Game Boy Advance,"June 17, 2002",https://www.metacritic.com/game/game-boy-advance/mega-man-battle-network-2
Tactics Ogre: The Knight of Lodis,494,8.8,Game Boy Advance,"May 11, 2002",https://www.metacritic.com/game/game-boy-advance/tactics-ogre-the-knight-of-lodis
The Elder Scrolls III: Morrowind,495,8.8,PC,"May 1, 2002",https://www.metacritic.com/game/pc/the-elder-scrolls-iii-morrowind
Arc the Lad Collection,496,8.8,PlayStation,"April 18, 2002",https://www.metacritic.com/game/playstation/arc-the-lad-collection
Deus Ex: The Conspiracy,497,8.8,PlayStation 2,"March 25, 2002",https://www.metacritic.com/game/playstation-2/deus-ex-the-conspiracy
Mad Maestro!,498,8.8,PlayStation 2,"March 12, 2002",https://www.metacritic.com/game/playstation-2/mad-maestro!
Maximo: Ghosts to Glory,499,8.8,PlayStation 2,"February 11, 2002",https://www.metacritic.com/game/playstation-2/maximo-ghosts-to-glory
Grandia II,500,8.8,PlayStation 2,"January 28, 2002",https://www.metacritic.com/game/playstation-2/grandia-ii
