title,number,score,platform,release_date,web_page
Final Fantasy VII,91,9.1,PlayStation,"September 3, 1997",https://www.metacritic.com/game/playstation/final-fantasy-vii
Super Mario 64,92,9.1,Nintendo 64,"September 26, 1996",https://www.metacritic.com/game/nintendo-64/super-mario-64
Resident Evil,93,9.1,PlayStation,"March 30, 1996",https://www.metacritic.com/game/playstation/resident-evil
Lost Judgment,94,9.0,PlayStation 5,"September 24, 2021",https://www.metacritic.com/game/playstation-5/lost-judgment
It Takes Two,95,9.0,PC,"March 26, 2021",https://www.metacritic.com/game/pc/it-takes-two
Monster Hunter Rise,96,9.0,Switch,"March 26, 2021",https://www.metacritic.com/game/switch/monster-hunter-rise
Hades,97,9.0,Switch,"September 17, 2020",https://www.metacritic.com/game/switch/hades
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,98,9.0,PlayStation 4,"June 23, 2020",https://www.metacritic.com/game/playstation-4/spongebob-squarepants-battle-for-bikini-bottom---rehydrated
Xenoblade Chronicles: Definitive Edition,99,9.0,Switch,"May 29, 2020",https://www.metacritic.com/game/switch/xenoblade-chronicles-definitive-edition
DOOM Eternal,100,9.0,Xbox One,"March 19, 2020",https://www.metacritic.com/game/xbox-one/doom-eternal
Astral Chain,101,9.0,Switch,"August 30, 2019",https://www.metacritic.com/game/switch/astral-chain
Resident Evil 2,102,9.0,PC,"January 25, 2019",https://www.metacritic.com/game/pc/resident-evil-2
NieR: Automata - Become as Gods Edition,103,9.0,Xbox One,"June 26, 2018",https://www.metacritic.com/game/xbox-one/nier-automata---become-as-gods-edition
Hollow Knight,104,9.0,Switch,"June 12, 2018",https://www.metacritic.com/game/switch/hollow-knight
The Evil Within 2,105,9.0,Xbox One,"October 13, 2017",https://www.metacritic.com/game/xbox-one/the-evil-within-2
Hollow Knight,106,9.0,PC,"February 24, 2017",https://www.metacritic.com/game/pc/hollow-knight
The Witcher 3: Wild Hunt - Hearts of Stone,107,9.0,PlayStation 4,"October 12, 2015",https://www.metacritic.com/game/playstation-4/the-witcher-3-wild-hunt---hearts-of-stone
The Legend of Zelda: A Link Between Worlds,108,9.0,3DS,"November 22, 2013",https://www.metacritic.com/game/3ds/the-legend-of-zelda-a-link-between-worlds
The Legend of Zelda: The Wind Waker HD,109,9.0,Wii U,"September 20, 2013",https://www.metacritic.com/game/wii-u/the-legend-of-zelda-the-wind-waker-hd
Fire Emblem: Awakening,110,9.0,3DS,"February 4, 2013",https://www.metacritic.com/game/3ds/fire-emblem-awakening
Okami HD,111,9.0,PlayStation 3,"October 30, 2012",https://www.metacritic.com/game/playstation-3/okami-hd
The Legend of Zelda: Ocarina of Time 3D,112,9.0,3DS,"June 19, 2011",https://www.metacritic.com/game/3ds/the-legend-of-zelda-ocarina-of-time-3d
Red Dead Redemption,113,9.0,Xbox 360,"May 18, 2010",https://www.metacritic.com/game/xbox-360/red-dead-redemption
Pokemon Mystery Dungeon: Explorers of Sky,114,9.0,DS,"October 12, 2009",https://www.metacritic.com/game/ds/pokemon-mystery-dungeon-explorers-of-sky
Metroid Prime Trilogy,115,9.0,Wii,"August 24, 2009",https://www.metacritic.com/game/wii/metroid-prime-trilogy
